"","importance"
"donation_id",4.00935516204478
"campaign_id",9.39840018867554
"organization_id",0
"donation_declared_amount",23.4449008470745
"donation_amount_name",3.73420333719857
"donation_risk_measure",0
"donation_duration",4.30022994831077
"donation_day",13.3546903559286
"donation_fortnight",0.448104400463811
"donation_hour",14.0917041724809
"campaign_thanks_email",3.07383895756766
"campaign_beginning_ym",8.56704860360448
"campaign_end_ym",0
"campaign_duration",8.46681472455337
"campaign_active",0.294805526620948
"analytics_camp_q_views",0
"analytics_camp_q_donations",0
"analytics_ratio_views",0
"analytics_ratio_donation",0
"analytics_camp_q_distinct_referral",66.857962697274
"analytics_camp_view_fb",0
"analytics_camp_donation_fb",0
"analytics_camp_view_google",0
"analytics_camp_donation_google",0
"analytics_camp_view_null",0
"analytics_camp_donation_null",0
"analytics_camp_view_donaronline",0
"analytics_camp_donation_donaronline",0
"analytics_camp_view_url_ong",0
"analytics_camp_donation_url_ong",0
"analytics_camp_view_otro",0
"analytics_camp_donation_otro",0
"analytics_camp_view_fb_t",86.6669287160236
"analytics_camp_view_google_t",54.5842259389556
"analytics_camp_view_null_t",52.3731844892986
"analytics_camp_q_distinct_referral_t",80.9968357540143
"analytics_camp_q_views_t",94.7072581120654
"analytics_camp_q_donations_t",70.5017590063088
"analytics_camp_view_fb_avg_quarter",100
"analytics_camp_view_fb_avg_semester",98.1368290717557
"analytics_camp_view_fb_avg_year",95.1533971423518
"analytics_camp_view_google_avg_quarter",60.0066822586034
"analytics_camp_view_google_avg_semester",58.2398144690553
"analytics_camp_view_google_avg_year",59.0495469821741
"analytics_camp_view_null_avg_quarter",44.4114699003557
"analytics_camp_view_null_avg_semester",52.3358424559266
"analytics_camp_view_null_avg_year",60.9598867946778
"analytics_camp_q_distinct_referral_avg_quarter",64.8139777127022
"analytics_camp_q_distinct_referral_avg_semester",67.0800495273285
"analytics_camp_q_distinct_referral_avg_year",66.7243175252059
"analytics_camp_q_views_avg_quarter",90.3755822409151
"analytics_camp_q_views_avg_semester",93.5732395196635
"analytics_camp_q_views_avg_year",95.6938739411568
"analytics_camp_q_donations_avg_quarter",63.6347556062184
"analytics_camp_q_donations_avg_semester",70.4722784536467
"analytics_camp_q_donations_avg_year",72.3609991941982
"analytics_camp_view_fb_dif_t_t1",0
"analytics_camp_view_dif_t_avg_quarter",0
"analytics_camp_view_dif_t_avg_semester",0
"analytics_camp_view_dif_t_avg_year",0
"analytics_camp_view_dif_google_dif_t_t1",0
"analytics_camp_view_dif_google_dif_t_avg_quarter",0
"analytics_camp_view_dif_google_dif_t_avg_semester",0
"analytics_camp_view_dif_google_dif_t_avg_year",0
"analytics_camp_view_dif_null_dif_t_t1",0
"analytics_camp_view_dif_null_dif_t_avg_quarter",0
"analytics_camp_view_dif_null_dif_t_avg_semester",0
"analytics_camp_view_dif_null_dif_t_avg_year",0
"analytics_camp_q_distinct_referral_dif_t_t1",0
"analytics_camp_q_distinct_referral_dif_t_avg_quarter",0
"analytics_camp_q_distinct_referral_dif_t_avg_semester",0
"analytics_camp_q_distinct_referral_dif_t_avg_year",0
"analytics_camp_q_donations_dif_t_t1",0
"analytics_camp_q_donations_dif_t_avg_quarter",0
"analytics_camp_q_donations_dif_t_avg_semester",0
"analytics_camp_q_donations_dif_t_avg_year",0
"ngo_facebook",0.0982685088736608
"ngo_twitter",0.0982685088736608
"ngo_linkedin",0.0982685088736608
"ngo_active",0.687879562115523
"tags_ngo_q_tags",18.9284801792418
"tags_education",0
"tags_childhood",0
"tags_health",0
"tags_poverty",0
"tags_humanrights",0
"tags_associations",0
"tags_volunteering",0
"tags_disabled",0
"tags_art",0
"tags_environment",0
"tags_employment",0
"tags_sports",0
"tags_animals",0
"tags_microcredit",0
"tags_science",0
"tags_tech",0
"tags_cooperation",0
"tags_gender",0
"tags_politics",0
"tags_home",0
"tags_agriculture",0
"tags_natural_disasters",0
"tags_elderly",0
"users_camp_q_users",0
"users_camp_q_login",0
"shares_camp_q_shares",0
"amount_approved",0
"amount_rejected",0
"amount_pending",0
"amount_cancelled",0
"amount_charged_back",0
"amount_in_process",0
"amount_refunded",0
"collected_amount_approved",0
"collected_amount_rejected",0
"collected_amount_pending",0
"collected_amount_cancelled",0
"collected_amount_charged_back",0
"collected_amount_in_process",0
"collected_amount_refunded",0
"ratio_q_approved",0
"ratio_q_rejected",0
"ratio_q_pending",0
"ratio_q_cancelled",0
"ratio_q_charged_back",0
"ratio_q_in_process",0
"ratio_q_refunded",0
"ratio_q_error_code_019",0
"ratio_q_error_code_034",0
"ratio_q_null",0
"ratio_q_error_code_040",0
"ratio_q_error_code_026",0
"ratio_q_error_code_022",0
"ratio_q_error_code_86",0
"ratio_q_error_code_56",0
"ratio_q_card_change",0
"ratio_q_error_code_51",0
"ratio_q_error_code_52",0
"ratio_q_error_code_91",0
"ratio_q_error_code_63",0
"ratio_q_error_code_55",0
"ratio_q_error_code_006",0
"ratio_q_error_code_024",0
"ratio_q_error_code_020",0
"ratio_q_error_code_54",0
"ratio_q_error_code_99",0
"ratio_q_error_code_96",0
"ratio_q_error_code_50",0
"ratio_q_error_code_021",0
"ratio_q_error_code_62",0
"ratio_q_error_code_66",0
"ratio_q_error_code_01",0
"ratio_q_error_code_11",0
"ratio_q_error_code_081",0
"ratio_q_error_code_074",0
"ratio_q_error_code_035",0
"ratio_q_error_code_15",0
"ratio_q_error_code_79",0
"ratio_q_error_code_109",0
"ratio_q_error_code_008",0
"ratio_q_error_code_007",0
"ratio_q_error_code_21",0
"ratio_q_error_code_041",0
"ratio_q_error_code_78",0
"ratio_q_error_code_61",0
"ratio_q_error_code_07",0
"ratio_q_error_code_08",0
"ratio_q_cc_rejected_other_reason",0
"ratio_q_accredited",0
"ratio_q_error_code_033",0
"ratio_q_cc_rejected_bad_filled_security_code",0
"ratio_q_error_code_60",0
"ratio_q_cc_rejected_high_risk",0
"ratio_q_cc_rejected_call_for_authorize",0
"ratio_q_error_code_064",0
"ratio_q_error_code_64",0
"ratio_q_error_code_14",0
"ratio_q_cc_rejected_insufficient_amount",0
"ratio_q_expired",0
"ratio_q_settled",0
"ratio_q_error_code_015",0
"ratio_q_cc_rejected_blacklist",0
"ratio_q_error_code_135",0
"ratio_q_pending_review_manual",0
"ratio_error_q_in_process",0
"ratio_q_cc_rejected_bad_filled_date",0
"ratio_q_cc_rejected_bad_filled_other",0
"ratio_error_q_refunded",0
"ratio_q_error_code_145",0
"ratio_q_error_code_85",0
"ratio_q_cc_rejected_invalid_installments",0
"donation_q_different_payment_methods",0.294805526620914
"donation_q_payment_method_amex",12.7434602307345
"donation_q_payment_method_argencard",0
"donation_q_payment_method_banelco",0
"donation_q_payment_method_cabal",0.196537017747288
"donation_q_payment_method_cmr",0.294805526620914
"donation_q_payment_method_codensa",0
"donation_q_payment_method_cordobesa",0.196537017747288
"donation_q_payment_method_credimas",0
"donation_q_payment_method_debcabal",0
"donation_q_payment_method_debmaster",0
"donation_q_payment_method_debvisa",8.90312690395237
"donation_q_payment_method_diners",0.0982685088736608
"donation_q_payment_method_maestro",0.0982685088736608
"donation_q_payment_method_pago_mas",0
"donation_q_payment_method_pago_master",2.28179477604607
"donation_q_payment_method_mercadopago_cc",0.0982685088736608
"donation_q_payment_method_naranja",1.76883315972562
"donation_q_payment_method_nativa",0.0982685088736608
"donation_q_payment_method_nevada",0
"donation_q_payment_method_tarshop",0
"donation_q_payment_method_visa",0.452035140818772
"donation_q_payment_method_visa_debito",1.59981132446295
"avg_pay_day",0
"std_pay_day",0
"median_pay_day",0
"avg_rejected_day",0
"std_rejected_day",0
"median_rejected_day",0
"payment_diff_days_approved_vs_rejected",0
"payment_diff_days_median_approved_vs_rejected",0
"donor_phone",2.68076492207309
"donor_cellphone",2.68076492207309
"donor_last_update_days",3.81281814429749
"donor_updated_date_ym",5.20036948959335
"donor_version_q_updates",0
"donor_version_last_update",0
"donor_q_completed_data_in_form",2.68076492207309
"donor_ratio_completed_data_in_form",2.68076492207309
"donor_q_phones",2.68076492207309
